16E060906: União das freguesias de Semide e Rio Vide;91;540;445;262;6;2680;820;122;
16E060905: Vila Nova;36;230;53;131;- -;966;406;185;
16E0610: Montemor-o-Velho;15565;11334;3705;597;748;51976;2900;353;
16E061002: Arazede;9121;5854;797;140;162;22675;1058;148;
16E061003: Carapinheira;576;762;416;68;73;4430;387;54;
16E061014: Ereira;24;5;1;- -;17;1037;13;- -;
16E061005: Liceia;1548;1008;29;22;66;3847;177;- -;
16E061006: Meãs do Campo;153;327;180;7;44;1714;54;- -;
16E061008: Pereira;103;273;628;87;73;2353;360;- -;
16E061009: Santo Varão;254;99;67;9;22;1130;313;- -;
16E061010: Seixo de Gatões;1263;543;503;47;62;3243;132;102;
16E061011: Tentúgal;1298;1369;735;96;129;4491;90;44;
16E061015: União das freguesias de Abrunheira, Verride e Vila Nova da Barca;473;89;145;32;48;1897;183;- -;
16E061016: União das freguesias de Montemor-o-Velho e Gatões;752;1005;204;89;52;5159;133;5;
16E1808: Mortágua;426;1740;6526;773;29;395036;29832;647;
16E180802: Cercosa;8;58;409;29;- -;696;256;23;
16E180804: Espinho;82;413;1374;212;9;33837;6683;135;
16E180805: Marmeleira;8;66;499;53;- -;13412;4071;25;
16E180807: Pala;77;395;844;72;3;30408;357;109;
16E180808: Sobral;131;468;1458;212;6;30732;526;146;
16E180809: Trezói;9;135;443;41;4;30597;3243;48;
16E180811: União das freguesias de Mortágua, Vale de Remígio, Cortegaça e Almaça;111;205;1499;154;7;255354;14696;161;
16E0611: Oliveira do Hospital;131;1170;11903;1170;194;74873;13645;942;
16E061101: Aldeia das Dez;- -;1;137;35;- -;515;174;13;
16E061102: Alvoco das Várzeas;2;5;235;10;- -;398;117;81;
16E061103: Avô;- -;7;345;19;2;441;128;1;
16E061104: Bobadela;6;32;742;43;6;6755;155;- -;
16E061106: Lagares;4;90;605;79;11;2268;1216;3;
16E061109: Lourosa;7;58;459;48;17;870;90;38;
16E061110: Meruge;5;16;436;49;- -;793;407;53;
16E061111: Nogueira do Cravo;27;304;1272;116;9;3219;880;101;
16E061115: São Gião;- -;23;256;20;12;498;161;55;
16E061118: Seixo da Beira;19;260;1865;301;50;13917;7868;83;
16E061119: Travanca de Lagos;5;52;725;91;21;1950;565;69;
16E061122: União das freguesias de Ervedal e Vila Franca da Beira;16;29;1611;126;40;1590;382;110;
16E061123: União das freguesias de Lagos da Beira e Lajeosa;- -;97;978;65;10;2417;783;54;
16E061124: União das freguesias de Oliveira do Hospital e São Paio de Gramaços;25;65;1652;106;8;38266;475;19;
16E061125: União das freguesias de Penalva de Alva e São Sebastião da Feira;1;11;141;23;4;280;114;261;
16E061126: União das freguesias de Santa Ovaia e Vila Pouca da Beira;14;120;444;39;4;696;130;1;
16E0612: Pampilhosa da Serra;8;147;486;1929;3;3565;807;3646;
16E061201: Cabril;- -;1;8;85;- -;175;61;222;
16E061202: Dornelas do Zêzere;- -;13;45;164;- -;553;56;135;
16E061211: Fajão-Vidual;- -;15;57;355;- -;269;110;942;
16E061204: Janeiro de Baixo;1;42;139;360;- -;916;106;482;
16E061206: Pampilhosa da Serra;- -;10;32;203;1;450;101;832;
16E061207: Pessegueiro;6;15;99;154;2;192;145;142;
16E061212: Portela do Fojo-Machio;1;16;47;183;- -;352;50;191;
16E061209: Unhais-o-Velho;- -;35;59;425;- -;658;178;700;
16E0613: Penacova;311;1354;4406;2009;21;40844;3625;1093;
16E061301: Carvalho;20;126;1231;186;- -;14373;328;215;
16E061302: Figueira de Lorvão;59;267;348;477;2;11888;901;99;
16E061304: Lorvão;50;141;272;95;2;8107;169;142;
16E061307: Penacova;11;84;392;415;- -;996;322;22;
16E061310: Sazes do Lorvão;13;89;246;255;- -;1345;549;74;
16E061312: União das freguesias de Friúmes e Paradela;8;512;85;260;4;753;165;358;
16E061313: União das freguesias de Oliveira do Mondego e Travanca do Mondego;100;53;562;128;5;1072;409;47;
16E061314: União das freguesias de São Pedro de Alva e São Paio de Mondego;50;82;1270;193;8;2310;782;136;
16E0614: Penela;212;1114;2926;1174;53;7186;2309;709;
16E061401: Cumeeira;23;308;671;136;10;1619;759;126;
16E061402: Espinhal;3;47;61;137;2;278;191;326;
16E061403: Podentes;29;59;125;202;10;1754;276;41;
16E061407: União das freguesias de São Miguel, Santa Eufémia e Rabaçal;157;700;2069;699;31;3535;1083;216;
16E0615: Soure;1990;5222;5044;2843;461;36271;3431;379;
16E061501: Alfarelos;137;108;73;13;9;1052;168;- -;
16E061504: Figueiró do Campo;138;242;156;129;43;2597;279;35;
16E061506: Granja do Ulmeiro;30;66;14;25;4;666;154;5;
16E061508: Samuel;65;450;530;66;66;3648;351;33;
16E061509: Soure;1088;2356;972;752;162;15748;1137;76;
16E061510: Tapéus;16;211;333;337;15;1001;81;95;
16E061513: União das freguesias de Degracias e Pombalinho;355;910;2785;1353;64;2529;492;89;
16E061514: União das freguesias de Gesteira e Brunhós;31;391;120;115;63;3739;385;31;
16E061511: Vila Nova de Anços;82;206;21;35;20;2013;165;1;
16E061512: Vinha da Rainha;48;282;40;18;15;3278;219;14;
16E0616: Tábua;620;678;6983;930;149;46472;5932;1437;
16E061602: Candosa;- -;18;86;14;- -;458;240;28;
16E061603: Carapinha;15;47;230;51;5;540;188;302;
16E061608: Midões;27;69;1190;122;10;1217;189;146;
16E061609: Mouronho;233;53;743;76;18;7865;255;199;
16E061611: Póvoa de Midões;12;42;306;36;1;788;265;24;
16E061612: São João da Boa Vista;5;20;419;82;15;715;146;14;
16E061614: Tábua;29;60;729;92;27;2693;437;239;
16E061616: União das freguesias de Ázere e Covelo;24;116;905;57;17;1325;282;191;
16E061617: União das freguesias de Covas e Vila Nova de Oliveirinha;46;88;1318;163;20;20220;433;71;
16E061618: União das freguesias de Espariz e Sinde;197;104;517;125;23;9743;3208;80;
16E061619: União das freguesias de Pinheiro de Coja e Meda de Mouros;32;61;540;112;13;908;289;143;
16E0617: Vila Nova de Poiares;98;337;244;584;31;4072;1246;724;
16E061701: Arrifana;18;107;71;195;8;1418;541;208;
16E061702: Lavegadas;1;12;35;39;2;242;19;14;
16E061703: Poiares (Santo André);21;176;67;205;14;1729;536;301;
16E061704: São Miguel de Poiares;58;42;71;145;7;683;150;201;
16F: Região de Leiria;21450;264092;40948;19683;1813;3094891;159493;7895;
16F1002: Alvaiázere;242;2371;4303;3427;109;81947;5932;529;
16F100201: Almoster;31;655;799;916;11;1151;525;71;
16F100208: Alvaiázere;90;320;701;557;25;2776;888;111;
16F100204: Maçãs de Dona Maria;47;333;584;471;6;2650;2697;101;
16F100205: Pelmá;35;490;552;792;36;2077;727;165;
16F100209: Pussos São Pedro;39;573;1667;691;31;73293;1095;81;
16F1003: Ansião;484;7464;7618;3084;82;297953;5480;486;
16F100301: Alvorge;125;641;1675;917;25;2257;912;43;
16F100309: Ansião;56;800;1677;530;9;34248;1068;111;
16F100303: Avelar;4;15;98;81;5;5297;83;8;
16F100304: Chão de Couce;33;1537;851;151;7;54903;577;37;
16F100306: Pousaflores;11;1259;812;515;16;2811;1660;169;
16F100307: Santiago da Guarda;255;3212;2505;890;20;198437;1180;118;
16F1004: Batalha;1349;17107;1449;1485;111;171179;27174;478;
16F100401: Batalha;883;14482;444;106;15;21258;12098;4;
16F100404: Golpilheira;23;1584;27;2;4;3836;299;- -;
16F100402: Reguengo do Fetal;89;562;181;181;11;31668;838;20;
16F100403: São Mamede;354;479;797;1196;81;114417;13939;454;
16F1007: Castanheira de Pêra;15;25;115;398;- -;691;255;570;
16F100703: União das freguesias de Castanheira de Pêra e Coentral;15;25;115;398;- -;691;255;570;
16F1008: Figueiró dos Vinhos;92;2369;1116;1425;15;6286;2105;807;
16F100801: Aguda;12;106;305;181;3;1009;300;73;
16F100802: Arega;46;138;378;480;4;1603;744;33;
16F100803: Campelo;- -;3;48;38;1;141;91;58;
16F100806: União das freguesias de Figueiró dos Vinhos e Bairradas;34;2122;385;726;7;3533;970;643;
16F1009: Leiria;6746;161430;7456;1456;376;1625890;65802;2224;
16F100901: Amor;412;3269;200;- -;29;4942;7460;164;
16F100902: Arrabal;96;141;118;251;6;9011;2406;25;
16F100925: Bajouca;156;920;245;4;2;103074;465;38;
16F100926: Bidoeira de Cima;136;22154;215;1;20;109483;658;43;
16F100907: Caranguejeira;383;6626;648;82;31;94728;2307;29;
16F100909: Coimbrão;283;1438;31;28;13;1583;3682;13;
16F100913: Maceira;219;5523;880;210;24;5564;5812;88;
16F100915: Milagres;455;18419;543;7;41;119134;453;57;
16F100921: Regueira de Pontes;239;22731;167;31;11;2453;335;37;
16F100932: União das freguesias de Colmeias e Memória;673;21278;764;37;18;174826;6370;13;
16F100933: União das freguesias de Leiria, Pousos, Barreira e Cortes;178;2525;329;124;16;80384;15522;106;
16F100934: União das freguesias de Marrazes e Barosa;273;11873;373;27;16;38871;295;190;
16F100935: União das freguesias de Monte Real e Carvide;399;750;904;63;46;6773;841;27;
16F100936: União das freguesias de Monte Redondo e Carreira;1174;5918;133;33;20;196644;5503;6;
16F100937: União das freguesias de Parceiros e Azoia;310;337;183;56;12;2434;6635;172;
16F100938: União das freguesias de Santa Catarina da Serra e Chainça;392;974;936;372;30;21595;2685;497;
16F100939: União das freguesias de Santa Eufémia e Boa Vista;288;30374;420;44;3;3580;1184;18;
16F100940: União das freguesias de Souto da Carpalhosa e Ortigosa;680;6180;367;86;38;650811;3189;701;
16F1010: Marinha Grande;375;3981;222;20;52;75850;1176;77;
16F101001: Marinha Grande;290;3293;78;8;10;59459;803;74;
16F101003: Moita;7;72;50;5;1;241;115;- -;
16F101002: Vieira de Leiria;78;616;94;7;41;16150;258;3;
16F1013: Pedrógão Grande;142;300;736;1060;78;5523;1420;480;
16F101301: Graça;110;161;312;354;22;1650;545;161;
16F101302: Pedrógão Grande;21;107;253;625;47;2928;465;214;
16F101303: Vila Facaia;11;32;171;81;9;945;410;105;
16F1015: Pombal;4807;40704;12061;3248;615;768224;43151;1065;
16F101501: Abiul;237;1848;3518;1121;48;218355;729;143;
16F101503: Almagreira;230;6639;370;57;56;68782;756;134;
16F101504: Carnide;243;8499;706;31;4;24425;1632;57;
16F101505: Carriço;460;822;123;168;6;4660;621;5;
16F101506: Louriçal;976;2831;116;165;7;117072;3479;17;
16F101515: Meirinhas;86;685;190;6;2;23369;6955;27;
16F101508: Pelariga;137;628;287;108;31;61691;4382;97;
16F101509: Pombal;554;4200;1633;291;195;13759;3226;200;
16F101510: Redinha;447;2161;944;510;103;14435;442;65;
16F101518: União das freguesias de Guia, Ilha e Mata Mourisca;838;6426;580;237;19;32790;6428;95;
16F101519: União das freguesias de Santiago e São Simão de Litém e Albergaria dos Doze;176;1046;1068;110;47;6363;6290;156;
16F101513: Vermoil;308;4488;1125;85;20;56241;7587;35;
16F101514: Vila Cã;115;431;1401;359;77;126282;624;34;
16F1016: Porto de Mós;7198;28341;5872;4080;375;61348;6998;1179;
16F101602: Alqueidão da Serra;199;825;373;575;42;958;496;510;
16F101605: Calvaria de Cima;38;6892;152;14;12;1435;216;12;
16F101606: Juncal;147;4016;296;116;28;9496;3479;43;
16F101608: Mira de Aire;173;157;262;80;17;258;96;48;
16F101609: Pedreiras;124;919;410;23;17;1633;283;- -;
16F101614: Porto de Mós - São João Baptista e São Pedro;318;9994;517;39;53;44082;726;12;
16F101610: São Bento;4882;1187;1681;1812;52;564;431;218;
16F101613: Serro Ventoso;711;2488;697;416;36;1075;349;155;
16F101615: União das freguesias de Alvados e Alcaria;102;26;266;193;49;735;212;90;
16F101616: União das freguesias de Arrimal e Mendiga;504;1837;1218;812;69;1112;710;91;
16G: Viseu Dão Lafões;22227;65488;81382;32290;2411;9458581;180733;10614;
16G0901: Aguiar da Beira;1894;4633;5779;1144;199;200557;3151;806;
16G090102: Carapito;216;223;1025;382;18;720;243;66;
16G090103: Cortiçada;54;162;301;113;30;4621;268;17;
16G090105: Dornelas;228;292;708;101;16;1953;718;5;
16G090106: Eirado;96;88;455;65;6;20331;20;26;
16G090107: Forninhos;49;91;241;74;3;504;36;82;
16G090109: Pena Verde;373;245;1482;155;4;1417;727;13;
16G090110: Pinheiro;55;154;95;41;14;47378;326;131;
16G090114: União das freguesias de Aguiar da Beira e Coruche;425;3041;423;138;49;86364;415;418;
16G090115: União das freguesias de Sequeiros e Gradiz;117;109;329;35;20;36580;137;44;
16G090116: União das freguesias de Souto de Aguiar da Beira e Valverde;281;228;720;40;39;689;261;4;
16G1802: Carregal do Sal;125;1785;3869;287;168;350251;2915;200;
16G180201: Beijós;10;129;414;29;55;261353;476;7;
16G180202: Cabanas de Viriato;19;130;718;76;56;26928;469;6;
16G180204: Oliveira do Conde;28;257;1410;84;33;14768;1016;40;
16G180206: Parada;17;30;48;15;9;1098;368;84;
16G180208: União das freguesias de Currelos, Papízios e Sobral;51;1239;1279;83;15;46104;586;63;
16G1803: Castro Daire;3299;6573;4937;7825;256;377643;8684;1284;
16G180301: Almofala;95;24;69;357;20;156;178;155;
16G180303: Cabril;198;85;281;755;9;651;301;285;
16G180304: Castro Daire;541;1689;517;667;29;43533;1984;122;
16G180305: Cujó;25;3;279;299;23;190;28;19;
16G180309: Gosende;351;2113;292;280;9;208;161;27;
16G180312: Mões;256;524;228;703;48;61640;977;114;
16G180313: Moledo;145;374;967;1061;10;139804;1120;47;
16G180314: Monteiras;69;47;276;131;24;278;387;8;
16G180317: Pepim;89;253;297;160;6;441;281;15;
16G180319: Pinheiro;207;155;192;219;19;539;469;62;
16G180322: São Joaninho;102;79;5;151;10;200;240;4;
16G180323: União das freguesias de Mamouros, Alva e Ribolhos;250;532;264;231;6;126888;957;68;
16G180324: União das freguesias de Mezio e Moura Morta;226;50;402;323;4;297;248;72;
16G180325: União das freguesias de Parada de Ester e Ester;358;208;272;1931;5;1311;591;219;
16G180326: União das freguesias de Picão e Ermida;191;74;308;237;18;345;87;2;
16G180327: União das freguesias de Reriz e Gafanhão;196;363;288;320;16;1162;675;65;
16G1806: Mangualde;306;4671;13258;1067;280;55586;15180;319;
16G180601: Abrunhosa-a-Velha;19;27;1387;127;15;528;98;1;
16G180602: Alcafache;5;66;746;34;3;13252;590;- -;
16G180605: Cunha Baixa;- -;1605;672;71;35;1156;455;13;
16G180606: Espinho;17;649;1909;77;36;1228;693;- -;
16G180607: Fornos de Maceira Dão;30;68;496;76;15;2507;5501;20;
16G180608: Freixiosa;4;5;147;12;17;183;181;6;
16G180614: Quintela de Azurara;23;58;291;8;2;236;104;3;
16G180616: São João da Fresta;22;14;653;23;4;434;110;- -;
16G180619: União das freguesias de Mangualde, Mesquitela e Cunha Alta;83;161;1719;211;67;24910;5124;68;
16G180620: União das freguesias de Moimenta de Maceira Dão e Lobelhe do Mato;1;63;532;93;9;1657;482;13;
16G180621: União das freguesias de Santiago de Cassurrães e Póvoa de Cervães;35;64;2733;141;33;7825;1036;44;
16G180622: União das freguesias de Tavares (Chãs, Várzea e Travanca);67;1891;1973;194;44;1670;806;151;
16G1809: Nelas;144;1463;5064;422;322;103366;3914;154;
16G180901: Canas de Senhorim;37;133;1352;56;37;8694;515;- -;
16G180908: Lapa do Lobo;2;56;504;53;25;921;216;5;
16G180903: Nelas;6;30;868;28;44;1470;780;46;
16G180905: Senhorim;40;789;796;52;86;7166;849;44;
16G180910: União das freguesias de Carvalhal Redondo e Aguieira;29;59;208;38;57;7328;525;44;
16G180911: União das freguesias de Santar e Moreira;29;350;732;82;45;45961;618;10;
16G180906: Vilar Seco;1;46;604;113;28;31826;411;5;
16G1810: Oliveira de Frades;2809;5091;1002;1841;15;2245300;9117;755;
16G181002: Arcozelo das Maias;411;479;139;200;4;267312;772;171;
16G181005: Pinheiro;425;2267;91;158;5;152222;3180;58;
16G181007: Ribeiradio;460;376;112;207;- -;183704;631;39;
16G181008: São João da Serra;247;111;105;559;- -;74146;245;15;
16G181009: São Vicente de Lafões;200;171;169;129;1;618754;1754;139;
16G181013: União das freguesias de Arca e Varzielas;274;235;240;103;- -;232548;201;25;
16G181014: União das freguesias de Destriz e Reigoso;498;647;69;108;3;129875;290;143;
16G181015: União das freguesias de Oliveira de Frades, Souto de Lafões e Sejães;294;805;77;377;2;586739;2044;165;
16G1811: Penalva do Castelo;434;1443;5246;643;164;50199;2557;314;
16G181102: Castelo de Penalva;99;191;1418;215;20;1287;99;12;
16G181103: Esmolfe;26;43;83;14;2;362;41;- -;
16G181104: Germil;16;39;118;8;7;447;92;- -;
16G181105: Ínsua;8;124;375;30;10;1714;356;16;
16G181106: Lusinde;10;159;251;5;16;461;92;3;
16G181109: Pindo;97;531;203;89;55;11164;755;67;
16G181110: Real;10;25;472;17;3;543;170;20;
16G181111: Sezures;74;160;640;90;9;15929;33;96;
16G181112: Trancozelos;11;29;279;29;3;16559;95;15;
16G181114: União das freguesias de Antas e Matela;49;90;790;106;15;1086;622;32;
16G181115: União das freguesias de Vila Cova do Covelo/Mareco;34;52;617;40;24;647;202;53;
16G1814: Santa Comba Dão;427;12143;3667;402;59;539180;26643;406;
16G181403: Pinheiro de Ázere;13;4979;385;40;4;2847;480;59;
16G181405: São Joaninho;18;457;638;86;19;336945;4303;52;
16G181406: São João de Areias;44;540;569;48;6;1956;12835;64;
16G181410: União das freguesias de Ovoa e Vimieiro;142;5698;371;45;10;2044;1685;113;
16G181411: União das freguesias de Santa Comba Dão e Couto do Mosteiro;75;210;596;91;13;28487;884;23;
16G181412: União das freguesias de Treixedo e Nagozela;135;259;1108;92;7;166901;6456;95;
16G1816: São Pedro do Sul;3437;5645;3796;7821;51;758547;9313;1393;
16G181602: Bordonhos;194;2176;10;75;8;271;133;40;
16G181606: Figueiredo de Alva;155;178;309;294;4;63262;497;31;
16G181607: Manhouce;834;109;133;757;- -;55319;115;230;
16G181608: Pindelo dos Milagres;63;337;37;212;1;48623;373;20;
16G181609: Pinho;140;163;274;37;- -;33148;270;154;
16G181612: São Félix;50;45;94;41;1;335;120;2;
16G181615: Serrazes;141;1342;122;176;5;48297;1351;104;
16G181616: Sul;97;86;379;608;4;22054;3102;162;
16G181620: União das freguesias de Carvalhais e Candal;463;312;596;2255;8;189330;667;193;
16G181621: União das freguesias de Santa Cruz da Trapa e São Cristóvão de Lafões;287;207;163;654;- -;86865;613;158;
16G181622: União das freguesias de São Martinho das Moitas e Covas do Rio;168;87;731;2154;1;909;207;156;
16G181623: União das freguesias de São Pedro do Sul, Várzea e Baiões;358;296;326;162;17;11062;745;56;
16G181617: Valadares;223;117;374;263;1;40287;727;51;
16G181619: Vila Maior;264;190;248;133;1;158785;393;36;
16G1817: Sátão;1725;4972;3104;1013;219;247685;28185;630;
16G181702: Avelal;79;534;16;18;4;472;187;21;
16G181704: Ferreira de Aves;810;1185;1003;443;19;43725;964;151;
16G181706: Mioma;104;332;302;31;20;2201;207;14;
16G181707: Rio de Moinhos;155;1110;48;81;11;1222;295;46;
16G181709: São Miguel de Vila Boa;101;312;241;31;44;1432;508;15;
16G181710: Sátão;215;875;739;121;54;2528;908;47;
16G181711: Silvã de Cima;50;108;140;126;26;70977;9685;82;
16G181713: União das freguesias de Águas Boas e Forles;82;135;116;17;1;20187;257;65;
16G181714: União das freguesias de Romãs, Decermilo e Vila Longa;129;381;499;145;40;104941;15174;189;
16G1821: Tondela;1999;5605;11523;2851;120;2240130;11933;1163;
16G182102: Campo de Besteiros;55;132;489;47;1;61819;525;87;
16G182103: Canas de Santa Maria;13;268;1086;77;4;154116;885;89;
16G182105: Castelões;92;321;414;254;10;31445;636;86;
16G182106: Dardavaz;70;462;557;123;6;286128;586;77;
16G182107: Ferreirós do Dão;6;38;86;19;1;354;75;- -;
16G182108: Guardão;286;126;182;246;1;595059;255;135;
16G182109: Lajeosa do Dão;9;142;1216;107;23;113638;735;64;
16G182110: Lobão da Beira;12;112;664;68;- -;72824;232;4;
16G182111: Molelos;40;270;1038;125;14;4569;776;35;
16G182116: Parada de Gonta;- -;792;47;7;1;51723;249;3;
16G182118: Santiago de Besteiros;141;277;345;322;- -;23469;956;55;
16G182122: Tonda;7;107;392;34;7;1489;437;46;
16G182127: União das freguesias de Barreiro de Besteiros e Tourigo;331;809;1363;192;2;280752;577;61;
16G182128: União das freguesias de Caparrosa e Silvares;139;451;321;519;- -;87057;864;37;
16G182129: União das freguesias de Mouraz e Vila Nova da Rainha;23;250;814;74;16;39133;983;37;
16G182130: União das freguesias de São João do Monte e Mosteirinho;575;519;294;360;1;4635;924;247;
16G182131: União das freguesias de São Miguel do Outeiro e Sabugosa;44;133;1045;29;28;106645;606;24;
16G182132: União das freguesias de Tondela e Nandufe;16;136;653;90;4;51646;676;38;
16G182133: União das freguesias de Vilar de Besteiros e Mosteiro de Fráguas;140;260;517;158;1;273629;956;38;
16G1822: Vila Nova de Paiva;1216;1095;2500;2439;213;269302;13746;638;
16G182203: Pendilhe;115;64;295;315;46;718;254;225;
16G182204: Queiriga;63;125;227;221;4;853;296;62;
16G182205: Touro;457;530;929;824;22;229096;11827;91;
16G182208: União das freguesias de Vila Nova de Paiva, Alhais e Fráguas;329;290;495;421;33;21719;1027;80;
16G182206: Vila Cova à Coelheira;252;86;554;658;108;16916;342;180;
16G1823: Viseu;1915;6069;15374;1741;332;929592;26002;1618;
16G182301: Abraveses;34;79;298;14;11;975;364;151;
16G182304: Bodiosa;71;202;663;112;2;34389;1476;25;
16G182305: Calde;158;300;1219;108;2;49178;710;158;
16G182306: Campo;63;136;604;32;7;1220;1037;223;
16G182307: Cavernães;66;189;488;46;21;20171;576;6;
16G182310: Cota;166;279;1398;382;26;177074;3103;268;
16G182337: Coutos de Viseu;100;167;337;12;2;39097;737;19;
16G182315: Fragosela;10;118;368;94;7;1043;544;6;
16G182316: Lordosa;108;117;1194;33;2;237666;827;82;
16G182318: Mundão;21;76;206;31;10;49694;364;54;
16G182319: Orgens;19;81;343;10;5;6620;512;19;
16G182320: Povolide;28;302;1114;15;10;75090;865;1;
16G182321: Ranhados;13;54;26;12;1;858;393;- -;
16G182339: Repeses e São Salvador;3;22;100;21;1;10232;295;- -;
16G182322: Ribafeita;137;133;417;70;- -;4205;866;66;
16G182323: Rio de Loba;33;108;217;25;12;1773;894;9;
16G182325: Santos Evos;70;160;569;46;8;71753;645;16;
16G182340: São Cipriano e Vil de Souto;50;152;765;76;7;26192;1529;15;
16G182327: São João de Lourosa;28;551;931;82;50;19103;3323;162;
16G182329: São Pedro de France;276;906;186;40;34;2293;1355;68;
16G182317: Silgueiros;12;181;710;65;29;36310;1049;18;
16G182335: União das freguesias de Barreiros e Cepões;274;354;1245;173;57;8003;1038;74;
16G182336: União das freguesias de Boa Aldeia, Farminhão e Torredeita;143;289;1363;172;8;52022;1984;166;
16G182338: Faíl e Vila Chã de Sá;23;1097;564;15;15;4007;1255;12;
16G182341: Viseu;9;16;49;55;5;624;261;- -;
16G1824: Vouzela;2497;4300;2263;2794;13;1091243;19393;934;
16G182401: Alcofra;264;299;44;557;- -;54931;398;81;
16G182403: Campia;719;679;153;602;- -;306639;2842;359;
16G182407: Fornelo do Monte;116;87;49;165;- -;416;118;- -;
16G182409: Queirã;221;736;807;225;1;316399;1055;93;
16G182410: São Miguel do Mato;26;74;87;89;3;6697;355;35;
16G182413: União das freguesias de Cambra e Carvalhal de Vermilhas;587;306;439;599;- -;273085;12725;250;
16G182414: União das freguesias de Fataunços e Figueiredo das Donas;87;1722;71;36;- -;25892;856;27;
16G182415: União das freguesias de Vouzela e Paços de Vilharigues;223;193;141;192;6;63867;499;40;
16G182411: Ventosa;254;204;472;329;3;43317;545;49;
16H: Beira Baixa;13980;20609;192425;47248;3798;145173;30878;21403;
16H0502: Castelo Branco;2768;13200;80447;14801;1255;58942;9783;4223;
16H050201: Alcains;212;4374;9518;121;27;1292;411;32;
16H050202: Almaceda;33;150;118;936;67;1586;411;282;
16H050203: Benquerenças;13;162;1232;1122;31;1495;242;149;
16H050205: Castelo Branco;434;959;15184;1132;100;5665;1103;215;
16H050211: Lardosa;365;32;7843;253;46;955;220;9;
16H050212: Louriçal do Campo;27;121;2850;553;8;1266;390;75;
16H050214: Malpica do Tejo;751;442;8814;818;150;1994;207;109;
16H050216: Monforte da Beira;278;5066;5006;309;97;1315;301;134;
16H050220: Salgueiro do Campo;19;104;773;415;54;1705;268;98;
16H050221: Santo André das Tojeiras;4;138;139;1168;81;2908;469;373;
16H050222: São Vicente da Beira;131;106;1181;1377;48;2625;816;206;
16H050223: Sarzedas;38;595;843;2977;153;10692;724;1172;
16H050225: Tinalhas;2;3;1683;302;13;485;311;45;
16H050226: União das freguesias de Cebolais de Cima e Retaxo;- -;85;191;291;11;1143;559;175;
16H050227: União das freguesias de Escalos de Baixo e Mata;51;173;8004;261;47;1732;411;143;
16H050228: União das freguesias de Escalos de Cima e Lousa;333;134;8664;1475;77;14640;1753;243;
16H050229: União das freguesias de Freixial e Juncal do Campo;24;185;1322;678;125;2564;416;254;
16H050230: União das freguesias de Ninho do Açor e Sobral do Campo;41;278;3308;437;57;3421;450;428;
16H050231: União das freguesias de Póvoa de Rio de Moinhos e Cafede;12;93;3774;176;63;1459;321;81;
16H0505: Idanha-a-Nova;8542;1590;87954;7679;988;20916;4122;3074;
16H050502: Aldeia de Santa Margarida;18;59;2841;602;16;2099;751;52;
16H050505: Ladoeiro;878;212;9046;189;108;3405;947;268;
16H050506: Medelim;52;25;1834;349;8;565;98;94;
16H050509: Oledo;701;115;7609;236;45;535;117;2;
16H050510: Penha Garcia;601;231;4967;966;72;1836;55;494;
16H050511: Proença-a-Velha;313;10;2782;504;20;1621;412;55;
16H050512: Rosmaninhal;570;157;13139;1424;113;1470;125;801;
16H050514: São Miguel de Acha;659;25;3020;394;18;732;315;21;
16H050516: Toulões;3;78;2071;224;36;1215;109;42;
16H050518: União das freguesias de Idanha-a-Nova e Alcafozes;3002;266;22198;1094;192;2429;472;167;
16H050519: União das freguesias de Monfortinho e Salvaterra do Extremo;301;75;2903;285;88;1461;117;233;
16H050520: União das freguesias de Monsanto e Idanha-a-Velha;317;190;4306;1006;161;2160;213;475;
16H050521: União das freguesias de Zebreira e Segura;1127;147;11238;406;111;1388;391;370;
16H0506: Oleiros;82;941;503;5379;60;17809;3140;3610;
16H050601: Álvaro;- -;25;138;220;- -;735;128;97;
16H050603: Cambas;- -;14;56;239;1;763;147;466;
16H050613: Estreito-Vilar Barroco;5;151;23;970;18;2695;507;603;
16H050605: Isna;30;102;30;641;2;934;91;610;
16H050606: Madeirã;2;16;29;113;- -;502;186;123;
16H050607: Mosteiro;3;53;23;320;2;1003;203;99;
16H050614: Oleiros-Amieira;38;411;117;2188;14;8713;1371;1410;
16H050609: Orvalho;2;111;36;321;15;1378;222;95;
16H050610: Sarnadas de São Simão;2;33;8;228;8;512;112;51;
16H050611: Sobral;- -;25;43;139;- -;574;173;56;
16H0507: Penamacor;1835;1118;14376;5704;594;12702;3917;1680;
16H050704: Aranhas;4;53;372;414;28;620;85;3;
16H050706: Benquerença;113;128;2351;452;90;3550;785;232;
16H050707: Meimão;45;62;202;565;45;452;298;198;
16H050708: Meimoa;142;100;1420;370;58;888;340;73;
16H050710: Penamacor;853;189;3922;1751;60;2397;855;1086;
16H050711: Salvador;6;18;2078;535;74;285;79;6;
16H050713: União das freguesias de Aldeia do Bispo, Águas e Aldeia de João Pires;393;460;1187;1084;118;1970;441;48;
16H050714: União das freguesias de Pedrógão de São Pedro e Bemposta;263;87;2681;456;87;2049;780;27;
16H050712: Vale da Senhora da Póvoa;16;21;163;77;34;491;254;7;
16H0508: Proença-a-Nova;468;1685;1370;9460;669;24441;4486;7243;
16H050802: Montes da Senhora;4;123;208;555;37;2860;399;83;
16H050805: São Pedro do Esteval;20;173;94;1776;145;3210;275;2495;
